CompanyID,CompanyName,Year,Revenue,ProfitMargin,MarketCap,GrowthRate
1,Company_1,2015,459.2,6.0,337.5,
1,Company_1,2016,473.8,4.6,366.6,3.2
1,Company_1,2017,564.9,5.2,313.4,19.2
1,Company_1,2018,558.4,4.3,283.0,-1.1
1,Company_1,2019,554.5,4.9,538.1,-0.7
1,Company_1,2020,567.5,6.0,384.1,2.3
1,Company_1,2021,604.2,5.2,479.3,6.5
1,Company_1,2022,593.2,4.2,248.4,-1.8
1,Company_1,2023,636.7,5.3,373.9,7.3
1,Company_1,2024,687.0,4.6,460.1,7.9
1,Company_1,2025,734.5,5.0,628.8,6.9
2,Company_2,2015,2934.8,-2.9,1803.1,
2,Company_2,2016,3140.3,-1.1,13885.2,7.0
2,Company_2,2017,3463.1,-2.2,5283.7,10.3
2,Company_2,2018,2939.7,-1.7,4408.0,-15.1
2,Company_2,2019,3125.6,1.2,566.4,6.3
2,Company_2,2020,2999.8,-0.3,1997.8,-4.0
2,Company_2,2021,3167.9,-0.4,15634.9,5.6
2,Company_2,2022,3106.4,0.8,514.3,-1.9
2,Company_2,2023,3691.6,-0.7,2523.2,18.8
2,Company_2,2024,3822.9,-1.2,5807.8,3.6
2,Company_2,2025,4371.5,-2.4,20376.3,14.4
3,Company_3,2015,259.7,5.9,140.2,
3,Company_3,2016,245.2,8.5,224.0,-5.6
3,Company_3,2017,282.4,6.5,289.7,15.2
3,Company_3,2018,300.2,3.1,100.7,6.3
3,Company_3,2019,322.6,5.1,290.7,7.5
3,Company_3,2020,337.9,2.7,76.5,4.7
3,Company_3,2021,348.4,4.5,128.8,3.1
3,Company_3,2022,389.6,7.1,327.9,11.8
3,Company_3,2023,415.2,8.1,498.7,6.6
3,Company_3,2024,438.0,10.3,739.4,5.5
3,Company_3,2025,479.8,11.6,1020.7,9.5
4,Company_4,2015,5036.7,21.2,23192.4,
4,Company_4,2016,5192.5,25.1,25137.8,3.1
4,Company_4,2017,5497.1,23.4,33251.0,5.9
4,Company_4,2018,5978.5,26.1,31801.0,8.8
4,Company_4,2019,6529.4,28.2,42706.4,9.2
4,Company_4,2020,6123.5,30.6,38574.1,-6.2
4,Company_4,2021,5784.3,29.4,37578.6,-5.5
4,Company_4,2022,5711.3,26.1,35339.1,-1.3
4,Company_4,2023,5844.2,26.5,34781.6,2.3
4,Company_4,2024,6555.1,26.0,45451.6,12.2
4,Company_4,2025,7675.6,22.9,42400.4,17.1
5,Company_5,2015,2720.9,16.1,3884.5,
5,Company_5,2016,2647.4,17.6,9275.6,-2.7
5,Company_5,2017,2553.4,19.9,9760.9,-3.6
5,Company_5,2018,2758.9,22.6,7367.6,8.1
